MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
11.3,32.2,0,WNW,28,SSW,17,15,34,17,1019.7,1016.2,20.9,30.5,No,0
13.9,36.6,0,WNW,39,NNE,2,15,39,10,1015.8,1010.6,22,34.4,No,0
18.6,39.9,0,NNW,61,WNW,9,20,36,21,1010.1,1004.8,26.8,37.7,No,0
19.3,38.1,0.8,NNW,61,WSW,15,17,48,17,1009.6,1005.9,27.3,36.1,No,0
24.4,34,0.6,NW,98,NNW,26,48,60,39,1005.3,997.8,26.1,33.1,No,1
18.8,35.2,6.4,WNW,52,NW,6,28,43,28,1007.9,1003.9,22.8,33,Yes,0
20.8,30.6,0,W,54,W,30,28,41,21,1005.4,1007.6,23.3,29.7,No,0
14,34.3,0,WSW,24,SSE,7,13,44,10,1016.5,1014.6,21.2,32.1,No,0
15.7,38.4,0,S,33,WSW,7,7,48,12,1017.7,1014.6,23.4,36.5,No,0
18.5,38.2,0,NNE,31,NNW,9,17,48,25,1017.8,1014.1,25.8,36.2,No,0
20.4,40.7,0,N,37,NNE,7,13,45,15,1014.9,1011.6,28.2,39.2,No,0
21.8,41.5,0,SW,24,S,6,11,38,13,1015.7,1011.8,29,40.1,No,0
22.3,42.9,0,NNE,28,SE,9,11,37,11,1014.6,1010.2,29.2,41.2,No,0
22,42.7,0,ESE,48,SW,4,4,33,11,1014.2,1010.5,29.9,42,No,0
28,43.1,0,SW,83,E,15,9,27,9,1012.5,1008.7,32.4,41.9,No,0
24.4,38.3,0.2,SW,56,NW,19,7,32,21,1011.7,1007.4,28.8,37.1,No,0
21.5,37.7,0,NA,NA,NA,13,9,51,21,1009.2,1005.7,27.2,36.2,No,0
21.7,36.9,0,NA,NA,NA,11,11,53,26,1008.8,1004.7,25.5,35.2,No,0
21.5,41.2,0,WSW,35,S,7,19,48,15,1005.9,1002.6,26.5,39.7,No,0
23.5,42.2,0,W,37,W,6,15,39,8,1008,1005,28.7,41.6,No,0
22.3,44.8,0,NNW,59,NW,9,33,36,11,1008.2,1003.8,29.6,43.4,No,0
28.3,40.2,0,NW,52,W,9,22,20,19,1007,1006.5,34.5,38.5,No,0
18.4,31.2,0.4,SE,37,WSW,7,11,66,31,1009.3,1007.8,18.7,29.4,No,0
14.9,27.3,0,SSE,41,SE,20,13,50,30,1011.6,1008.5,17.4,25.8,No,0
13.5,26.7,0,SSE,46,E,19,11,45,24,1012.8,1011.1,16.7,24.9,No,0
16.1,21.6,0,SE,46,NE,11,15,58,69,1017,1017.3,17,17.3,No,1
14.6,29,3,SSE,41,SSE,26,24,41,21,1023.3,1019.7,18,27.6,Yes,0
12.4,29.2,0,NE,39,NA,7,0,37,18,1022.5,1016.4,18.3,28.5,No,0
13.3,31.3,0,NNE,41,SSW,7,15,50,23,1016.2,1012.8,19.2,29.2,No,0
17.2,31.1,0,E,35,ESE,17,11,43,22,1017.7,1013.8,21.4,29.5,No,0
12.5,28.8,0,N,31,ENE,7,11,46,17,1017.2,1013.5,18,27,No,0
18,32,0,NW,31,SW,4,13,44,22,1012.4,1007.5,22.1,30.7,No,0
16.2,34,0,WSW,48,WSW,4,22,53,16,1007.8,1004.5,21,32.7,No,0
18.7,29.1,0,SSW,41,SSE,7,17,45,39,1010.1,1010.8,21.5,26.8,No,0
13.7,31.7,0,SSE,28,S,2,9,63,19,1012.5,1010.4,19.3,29.8,No,0
15.5,33.2,0,NW,31,WNW,11,15,49,23,1015.6,1012.4,20.9,31.3,No,0
14.3,34,0,NW,70,NW,6,22,48,10,1013,1009.2,20.7,33.4,No,0
12.9,29.6,0,WNW,46,WNW,7,24,54,14,1014,1012.7,18.7,28.6,No,0
8.9,31.9,0,WNW,43,WSW,0,17,49,16,1016.6,1013.4,15,29.3,No,0
15,32.7,0,ESE,26,S,15,2,43,19,1017.8,1015,20.7,30.5,No,0
15.4,32.6,0,W,24,S,0,6,53,25,1016.2,1012.6,20,30.8,No,0
16,34.5,0,WSW,44,NA,6,NA,44,14,1007.5,1004.6,22.2,33.6,No,0
12.8,30.3,0,W,30,WSW,4,13,53,27,1010.5,1008.7,17.3,28.1,No,0
13.2,31.9,0,NNW,35,ENE,6,9,53,25,1014.1,1011.6,18,29.8,No,0
18,31.1,0,WNW,52,NNE,15,26,58,35,1014.7,1009,23,29.2,No,0
13.8,22.1,0.2,WNW,57,WNW,26,33,57,26,1014.5,1013.1,15.6,21.9,No,0
11.5,22,0,SW,50,W,19,33,60,33,1013.7,1011.8,13.9,21.4,No,0
7.6,24,0,WSW,30,WNW,0,13,52,23,1014.5,1012,12.6,22,No,0
8.3,27.9,0,W,37,W,4,20,58,22,1015.2,1012.4,13.3,27,No,0
11,30.2,0,SSE,24,SSE,7,11,54,20,1017,1014.7,17.6,28.8,No,0
13.8,31.8,0,NNE,24,NE,6,17,49,28,1019.7,1015.9,18.6,30.5,No,0
15.5,32,0,NE,50,E,2,4,51,25,1019.5,1016.2,20.1,30.8,No,1
18.4,30.5,1.2,NE,44,N,15,19,57,23,1021.3,1018,21.5,29.6,Yes,0
20.9,25.7,0,W,37,S,11,9,52,90,1019.5,1018.9,22.2,18.8,No,1
17.1,25.8,5.8,ENE,31,S,0,13,82,68,1017.4,1014.7,19,23.8,Yes,1
16.4,27,3,SW,69,N,9,22,82,74,1012.7,1008,19.9,19.7,Yes,1
10,19.7,11.6,WNW,39,NW,11,17,62,41,1013.4,1012,12.7,18.3,Yes,0
8.8,21.9,0,W,39,WNW,2,20,78,34,1013.3,1011.6,12.2,20.5,No,0
8.4,25.3,0,WNW,35,WSW,9,17,78,34,1015.6,1013.2,12.1,23.9,No,0
9.3,28,0,NW,52,NW,6,11,76,19,1017.4,1013.9,14.7,27.2,No,0
11.3,30.1,0,WSW,24,SW,6,7,56,15,1016.3,1013.6,14.7,29.3,No,0
11.5,33.5,0,SSE,22,N,7,7,50,13,1016.5,1013.6,17.4,32.6,No,0
13.8,33.6,0,NNW,28,NNE,0,11,47,17,1017,1013.1,18.8,33.5,No,0
14.6,30,0,NE,37,NNE,4,19,56,30,1014.8,1012.7,18.1,29,No,0
14.4,31.6,0,NW,37,WNW,0,24,63,25,1013.7,1011.8,18.8,31.4,No,0
10.8,31.9,0,S,48,WNW,6,20,62,20,1016.5,1014.4,15.4,30.7,No,0
15.4,22.3,0.4,ENE,30,SSE,11,9,69,78,1017.4,1019.2,18.3,19.6,No,1
13.3,29.8,1.8,WSW,33,WNW,0,20,87,26,1019.1,1017.2,16.2,29.2,Yes,0
10.1,27.6,0,WNW,43,W,0,11,63,30,1023,1020.7,16.5,26.8,No,0
9.1,28.9,0,NNW,24,N,2,17,60,26,1023.8,1020.6,14,27.7,No,0
10.4,31.2,0,S,22,SE,0,6,60,18,1022.4,1019.1,16,29.9,No,0
13.4,30.4,0,ENE,22,SE,0,9,57,16,1023,1019.5,17.2,29.2,No,0
12.3,29.9,0,WSW,26,SSW,2,13,61,25,1023.2,1019.5,17.1,28.6,No,0
12.2,30.6,0,SE,22,ENE,0,6,59,22,1022.6,1019.4,16.6,29.5,No,0
14.3,32.1,0,NE,28,ENE,0,11,59,30,1022.6,1018.4,18.4,30.9,No,1
18.4,28.1,8.6,W,98,NNE,7,17,92,49,1018.8,1012.9,19,27.4,Yes,1
10.7,21.4,12.6,W,43,WSW,0,13,60,33,1019.8,1019.3,13.9,20.3,Yes,0
7.8,21.7,0,WSW,31,NW,6,19,72,37,1020.4,1016.5,12.9,21.2,No,0
8.1,21.4,0,W,35,WSW,13,19,58,20,1021.8,1019.6,13.8,20.9,No,0
7.5,22.5,0,SE,28,S,7,7,55,27,1026.7,1023.5,13.3,21.6,No,0
8.2,24,0,SSE,17,SSE,7,13,60,30,1027.1,1023.4,13.8,23.5,No,0
8.1,25.7,0,ENE,22,S,9,13,67,27,1024.2,1019.6,15.1,25,No,0
11.6,26.7,0,W,48,NE,6,11,59,42,1021.5,1017.7,16.4,24.3,No,1
13,24.9,8.4,W,46,E,6,11,75,47,1024.4,1020.3,18,24.4,Yes,1
13.5,24.2,6.2,WSW,20,SE,0,6,88,52,1024.1,1020.8,15.4,23.1,Yes,0
9.9,25.4,0,NNE,19,SSW,4,7,65,35,1023,1018.7,16.1,25,No,0
12.2,25,0,WNW,30,W,0,15,68,39,1016.3,1011.6,16.2,24.6,No,0
10.7,21.9,0,W,63,W,26,31,44,27,1008.2,1009.8,20.5,18.9,No,0
3.5,20,0,W,31,WNW,0,13,65,30,1016.3,1012.8,9.6,19.4,No,0
6.6,21.6,0,WNW,26,W,6,11,59,39,1018.5,1016.8,12.6,21.6,No,0
7,23.4,0,W,24,W,2,17,73,37,1022.8,1019.3,12.4,22.9,No,0
11.2,23.9,0,SE,31,SE,13,15,54,33,1022.7,1019.6,18,23.6,No,0
7.4,22,0,SSE,28,SE,2,7,58,29,1023.6,1020,14.1,21.3,No,0
5.7,21.4,0,ESE,17,SSE,6,7,68,39,1025.2,1020.9,12.2,20.9,No,0
6.2,22.7,0,ESE,17,SW,0,7,73,33,1026,1021.6,11.2,22.3,No,0
6,22.9,0,NE,33,NE,0,20,68,34,1021.3,1015.7,12.9,22.6,No,0
10.6,16.2,0,WNW,39,NNE,7,4,74,86,1008.9,1002.4,14.9,15.1,No,1
12.9,15.8,20,W,70,NNW,19,15,83,89,1004.8,1000.9,13.3,14.5,Yes,1
8.6,12.9,21,NNW,63,WNW,26,31,77,62,1004,1003.3,9.5,11.6,Yes,1
4.5,11.5,3.2,NW,26,NNW,9,13,82,79,1013.8,1013.5,7.6,9.4,Yes,1
7.6,14.5,4.8,WNW,35,W,15,20,83,48,1018,1018.3,10.1,14,Yes,0
5.4,12.2,0,SSE,19,SSE,9,7,62,46,1023.1,1020.9,8.2,12.1,No,0
2.1,16.5,0,SW,19,SW,0,7,70,38,1023.4,1021.5,7.9,16.1,No,0
1.8,17,0,SW,19,WSW,0,7,77,44,1026,1023.2,7.2,16.3,No,0
7.2,19.2,0,SW,22,W,7,6,81,49,1026.9,1024,10.1,19.1,No,0
4.6,18.9,0,S,15,SSE,4,7,75,51,1028.7,1025.9,10.6,18.5,No,0
4.2,19.1,0,W,19,WSW,6,13,86,44,1029.8,1027.3,9.6,18.8,No,0
5.2,18.8,0,ESE,15,SE,0,7,71,47,1031.4,1028.1,10.3,18.4,No,0
4.1,19.3,0,SW,20,WNW,6,7,82,49,1028.5,1024.6,10,19.2,No,0
3.2,18.4,0,SW,20,WNW,6,11,86,49,1026.2,1023.6,8.3,18.2,No,0
4.3,19,0,W,15,W,0,9,68,36,1028.8,1025.8,11,18.5,No,0
3.7,20.5,0,W,17,WSW,0,7,78,45,1026,1021.8,9.4,20.2,No,0
5.4,19.5,0,SE,17,SE,0,7,69,40,1025.1,1022.3,11.7,19.1,No,0
4.3,17.7,0,ESE,15,S,6,7,89,53,1025.6,1022.2,8.5,17.7,No,0
3.6,18.5,0,W,26,WNW,4,17,81,49,1022.3,1018.5,9.1,18,No,0
3.6,15.1,0,WNW,28,W,4,17,86,61,1018.4,1015.7,7.5,14.6,No,0
6.9,16.3,0,WNW,35,WNW,17,19,77,59,1015.3,1013.1,10.3,15.3,No,0
10.3,16.6,0,WNW,54,NW,13,19,82,63,1015,1011,12.9,15.9,No,1
12.4,16.4,1.8,W,52,WSW,22,24,82,54,1011.8,1013.4,13,14.5,Yes,0
3,15.6,0,W,20,E,6,9,83,61,1022.5,1019.3,7,14.7,No,0
2.6,19.7,0,E,13,ENE,0,4,82,34,1024.7,1021.2,8.8,18.7,No,0
3.7,19.1,0,SSE,19,SSE,0,11,87,51,1023.6,1019.9,7.4,18.9,No,0
5.1,18.6,0,E,13,ENE,2,9,75,57,1022.8,1020.5,12.4,18,No,0
4.4,19.8,0,SE,20,SE,0,7,81,48,1025.2,1022.3,9.4,19.1,No,0
4.7,19.8,0,SE,24,SE,4,19,75,43,1025.2,1021.4,10.1,19.6,No,0
6.2,22.9,0,E,30,SE,6,9,71,37,1022.2,1019.4,11.9,21.7,No,0
6.7,21.1,0,SE,20,SE,0,11,69,43,1025,1022.1,12.5,20.8,No,0
9.3,20.3,0,NE,31,NE,9,22,77,50,1024.6,1019.7,11.6,19.5,No,1
11.6,18.1,4.2,E,19,SSE,2,6,97,74,1021.4,1019.2,13.6,17.4,Yes,0
8,16.2,0.8,W,20,WSW,0,11,99,58,1021.7,1019.3,10.1,15.6,No,0
2.6,15.7,0,SSE,13,S,0,2,91,48,1023.4,1021.6,7.1,15.3,No,0
2.2,16.5,0,ESE,33,SE,0,19,67,44,1025.6,1024,10.2,15.9,No,0
2.2,16.8,0,SE,26,SE,0,15,65,44,1030.3,1028.5,9.6,16.7,No,0
1.7,17.1,0,NW,44,SE,0,9,73,46,1034.1,1029.9,8,16.8,No,1
8,14.3,1.2,SE,13,NA,0,0,88,75,1031.9,1029.2,9.2,14,Yes,1
8.4,13.4,1.4,SE,13,ESE,0,7,78,75,1029.3,1026.2,10.6,13.4,Yes,1
10.6,14.3,4.8,SE,13,SE,6,9,85,97,1023.5,1020.4,12.4,13,Yes,1
8.9,17.4,8,ENE,13,E,2,4,99,58,1021,1017.5,11.3,16.5,Yes,0
2.8,16.1,0,W,20,W,4,11,86,57,1017.9,1015.1,7.6,15.6,No,0
1.7,10.5,0.2,ESE,11,NA,4,0,99,91,1015.2,1011.1,4.7,10.2,No,1
4.7,11.6,14.4,NNW,30,NNW,6,17,93,80,1007.5,1006.3,10,11.5,Yes,1
9,12,4.6,WNW,33,WNW,9,26,88,79,1009.6,1008.7,10.3,11.4,Yes,1
6.3,8.8,2,W,43,WNW,13,13,92,95,1011.1,1008.3,6.8,7.9,Yes,1
3,10.5,5.6,WNW,37,WSW,15,22,77,56,1017.6,1018.4,4.9,9.7,Yes,0
-2,9.6,0,SE,13,ESE,0,6,84,72,1025.1,1023,2.2,8.8,No,0
-1.3,8.2,0,ESE,15,SSE,6,6,99,72,1025.7,1022.2,1.9,7.9,No,0
1.8,12.4,0,ENE,28,NE,4,15,86,60,1018.3,1013,5.9,12.1,No,0
2,15.8,0,NNE,24,NE,0,11,82,49,1011.8,1009.3,6.5,15.5,No,0
0.5,14.9,0.4,ESE,13,NA,2,0,99,63,1013.9,1012.8,5.4,13.9,No,0
1.2,17.7,0,SE,17,ESE,0,6,83,49,1022.3,1022.2,6.6,15.4,No,0
0.6,15.9,0,WSW,13,W,0,2,94,52,1029.7,1027.7,5.6,14.9,No,0
0.5,14.7,0,N,11,NA,6,0,99,63,1031.6,1028.6,4.7,14.5,No,0
0.5,15.3,0,ESE,13,SE,6,6,93,56,1030.8,1027.1,5.4,15.1,No,0
0.9,17.3,0,NNE,28,NE,4,17,85,56,1025.7,1020.6,7,16.7,No,1
7,17,1.6,ENE,46,ENE,4,20,99,71,1021.9,1018.6,8.3,16.4,Yes,1
5,14.9,5.6,SE,19,ENE,4,6,99,78,1020.7,1018.6,9.1,13.6,Yes,0
3.9,15.5,0,W,35,SSE,11,7,99,70,1020.2,1016.4,8.3,15.2,No,1
7.7,14.1,6,ESE,41,SE,7,9,81,65,1014.9,1012.7,9.6,13.7,Yes,0
4.7,12.2,0,NNW,24,N,2,13,99,75,1015.5,1012.7,6.9,11.6,No,1
6.9,13.7,4.4,SE,46,ESE,7,9,99,73,1011.6,1008.1,8.4,13,Yes,0
8.4,11.9,0,SSE,22,SE,7,6,79,81,1007.8,1005.5,10.3,11.3,No,1
9.3,12.3,5.4,W,22,NNW,9,11,98,76,1007.5,1006.6,9.8,12.3,Yes,1
8.2,15.7,3.6,NE,26,NNE,9,15,91,69,1011.4,1009.4,10.1,15.6,Yes,1
9.1,16.1,2,NW,72,NE,11,19,78,73,1007.6,1001,13.5,15.3,Yes,1
8.3,13.3,8.4,NW,52,NW,20,22,85,68,1006.5,1005.2,9.5,13.1,Yes,1
8.8,11.6,5,WNW,54,WNW,19,19,88,74,1009.4,1006.8,8.8,11.4,Yes,1
7.6,12,7.8,W,61,WSW,17,22,82,62,1008.6,1009.6,7.8,11.7,Yes,0
5.7,13.2,0,WNW,39,WNW,15,24,91,76,1016.3,1014.9,7.9,12.6,No,0
3.4,12.4,0,W,31,W,9,15,80,56,1019.9,1019,7,12,No,0
0,12.1,0,ENE,19,WSW,7,7,99,65,1022.4,1020.4,2.3,11.4,No,0
-1.5,12.5,0,E,19,ENE,0,7,91,46,1026,1024.6,2.4,12.4,No,0
-1.7,13.8,0,E,17,ESE,0,7,84,54,1030.4,1028.1,3.3,12.4,No,0
-0.4,15,0.2,ESE,13,SE,0,7,84,54,1032,1028.6,3.8,14.3,No,0
0.1,13.5,0,E,13,SSE,0,9,93,62,1028.7,1023.8,4.8,13.4,No,0
4.8,13.3,0.6,NE,24,NE,0,13,96,63,1020.5,1015.6,8.1,13.2,No,0
8.1,16.5,0.6,NNW,33,NNW,7,19,77,53,1010.4,1007.7,11.6,15.4,No,0
5.9,13.1,1,WNW,41,NNW,13,11,82,73,1007.6,1005.5,9,12.3,No,1
6.9,11,6.8,W,30,SSW,9,9,94,75,1006.6,1005.8,7.5,10.1,Yes,1
2.9,12.6,1.8,WSW,22,NA,4,0,99,57,1010.5,1009.9,5.9,12.5,Yes,0
-0.6,13.4,0,WNW,24,WSW,0,9,95,57,1015.6,1014.5,3.8,12.8,No,0
-0.3,14.4,0.2,N,17,SW,4,6,88,52,1022.4,1020.6,4.5,14.2,No,0
-1,12,0,N,20,N,0,11,98,64,1023,1019.5,3.2,11.2,No,0
3.2,14.1,0.6,NNE,24,NE,7,11,94,65,1021.6,1019.8,7.8,13.5,No,0
3.6,16.5,0.2,NW,39,N,0,19,95,53,1023.1,1018.4,7.1,16.3,No,0
0.8,17.7,0,N,43,ENE,4,17,87,46,1019.7,1013.4,6.6,17.6,No,0
6.6,12.3,0,W,44,NNW,7,20,74,81,1009.5,1006.2,11.3,10.2,No,1
6,13.5,9.8,WNW,26,W,13,17,83,58,1015.1,1018.4,8.5,12.9,Yes,0
-0.1,12.9,0,NW,22,NNW,0,15,87,58,1027.3,1025.4,3.7,11.6,No,0
-0.3,12.2,0,NE,20,NE,0,9,95,61,1026.8,1022.7,2.5,10.8,No,0
2.1,9.8,0,SSE,13,E,0,2,85,74,1018,1013.7,4.4,9.6,No,0
1.3,8.8,0,N,20,NNW,6,9,99,91,1019.9,1019.9,4.2,7.3,No,1
4.2,12.7,3.8,WNW,31,WNW,11,11,89,71,1024,1023.1,8.8,12,Yes,1
8.3,13.2,2.4,WNW,24,WSW,11,9,98,81,1026,1025.4,9.3,12.1,Yes,0
3.3,12.1,0.2,NNW,22,WNW,0,9,99,76,1025.8,1022.7,6.5,12,No,1
6.5,14.5,5.2,W,35,WSW,19,22,81,61,1021.3,1021.5,11.6,12.7,Yes,0
7.4,13.9,0.2,W,30,WNW,0,15,99,70,1026.8,1025.3,8.9,13.3,No,0
7.5,14.1,0.8,NNW,30,NNW,2,17,94,65,1027.9,1024.8,10.5,13.3,No,0
8.3,13.8,0.8,NNW,37,WNW,20,15,79,49,1023.1,1022.9,9.9,13.6,No,0
3.2,14.7,0,SSE,17,ENE,0,4,91,53,1021.7,1018.9,5.7,14,No,1
5.7,13.8,5.4,NNE,19,S,7,7,98,76,1022.2,1020.2,8.9,13.6,Yes,0
5.1,17.1,0.4,N,35,NE,0,19,99,58,1021.9,1016.7,8,16.6,No,0
8,13.9,0.8,WNW,57,WSW,35,33,79,47,1012.8,1015.6,9.8,13.7,No,1
-0.8,12.9,4.2,WNW,24,WSW,6,6,78,50,1026.4,1023,4.4,12.3,Yes,0
-1,12.2,0,ESE,15,E,2,7,91,48,1021.6,1018.5,2,12.1,No,0
1.9,14.8,0.2,SE,20,SE,4,11,72,60,1018.6,1014.7,5.9,12.6,No,0
5.9,17.7,0.4,NNE,43,NNW,19,22,62,59,1009,1008.6,14.8,15.6,No,1
6.9,14.3,4.8,W,24,NW,6,13,99,74,1011.5,1010,9.1,13,Yes,0
7.7,11.6,0.2,NW,22,N,6,13,94,87,1015.7,1015.3,9.4,11.1,No,1
6.8,15.2,1.2,WSW,22,WNW,0,13,99,61,1021.1,1019.1,9,14.7,Yes,0
2.7,17.5,0.2,NNE,24,NE,7,13,99,57,1021.2,1016.8,6.7,17,No,1
5.1,15.5,1.6,W,39,ENE,11,11,79,70,1012.2,1006.4,11,14.3,Yes,1
4.2,13.6,3.2,WNW,37,WNW,20,19,73,57,1018.2,1019.7,9.8,12.8,Yes,0
0.6,15.6,0,WNW,15,S,0,6,85,58,1029.8,1027.2,6,14.4,No,0
1.6,16.4,0,E,17,S,7,7,99,61,1027.7,1022.5,5.5,15.2,No,0
5.5,18.4,0,N,22,N,6,13,78,51,1019.7,1014.3,11.1,17.3,No,0
7.3,14.8,1,WNW,59,WSW,26,30,72,85,1004,1001.7,13.3,10.1,No,1
0.2,14.1,6.6,NE,26,NNE,9,13,90,57,1012,1009.6,5.8,12.9,Yes,1
5.8,18.9,3.8,NNE,26,NNE,7,11,94,67,1011.5,1007.1,10.8,18.2,Yes,1
8.9,17.1,1.2,WNW,63,NW,26,22,68,52,1004.1,1001,13.2,16.4,Yes,1
7.1,12.8,2,W,85,NW,15,20,75,53,1009.6,1008.2,7.7,11.7,Yes,1
4.2,14.4,3.6,NW,43,NW,13,30,83,56,1016.1,1014.4,6.9,13.6,Yes,0
1.1,16.7,0.4,N,30,N,11,19,72,49,1018.5,1014.6,8.9,16.2,No,0
1.1,18.6,0,NNW,24,E,7,11,87,51,1016.9,1013.3,7.2,17.6,No,1
7.2,17.9,4.2,W,59,W,20,19,81,80,1002.6,996.9,13,17.5,Yes,1
6.3,11.1,13.4,WNW,56,W,26,20,77,57,1014.2,1015.2,6.7,10.7,Yes,1
6.7,14.2,1.4,NW,39,NW,19,22,90,72,1018.9,1016.8,9.7,13.9,Yes,1
5.1,14.2,3,WNW,24,W,7,15,96,58,1023.2,1021.7,9.7,12.5,Yes,0
1,16.8,0,ESE,24,E,9,9,82,45,1024.9,1020.2,7,16,No,0
6.1,20.7,0,NE,43,NE,4,24,80,54,1016.6,1010.8,10.2,20.3,No,1
6.3,16.9,1.4,NW,35,WNW,6,13,85,58,1014.4,1012.3,12.5,15.5,Yes,0
2.1,15,0,WNW,30,NW,4,11,81,54,1019.5,1017.9,8.6,14.9,No,0
1.6,16.6,0,NE,37,NE,9,20,79,47,1018.4,1011.4,8.3,15.4,No,0
8.3,17.6,0,W,41,W,9,30,73,53,1005,1002.7,13.9,16.5,No,0
5.7,16.5,0,W,46,WSW,7,30,90,59,1009.9,1009,9.4,15.3,No,0
7.5,14.3,0,W,35,WNW,17,22,82,67,1012.8,1011.3,9.5,13.4,No,0
NA,18.8,NA,N,31,NNE,7,19,83,46,1022.2,1018.2,8.7,18.1,NA,0
6.5,24.7,0,NE,39,NE,6,22,70,39,1020,1015.4,13.2,24,No,0
13.2,25.1,0,NNE,35,WNW,9,11,44,25,1017,1012.2,17.3,23.1,No,0
